,dates,postcode,street,title,Year
240,31st July to 27th October 2019,SE1 7LB,Lambeth Palace Road,"
What to Look for in the Garden: A Ladybird Books Exhibition ",2019
241,1st to 31st August 2019,WC2H 7BP,London,"
Kids Week ",2019
242,2nd August to 21st September 2019,NW1 4NR,"Inner Circle, Regent's Park","
Evita ",2019
243,Saturday 3rd and Sunday 4th August 2019,SW1A 2BJ,Horse Guards Road,"
Prudential RideLondon ",2019
244,Saturday 3rd August 2019,SW1A 2BJ,Horse Guards Road,"
Brompton World Championship Final ",2019
245,Saturday 3rd August 2019,SW1Y 5AH,Westminster,"
RideLondon FreeCycle ",2019
246,Saturday 3rd and Sunday 4th August 2019,SM4 5QX,"London Road, Merton","
Eastern Electrics Festival ",2019
247,8th to 21st August 2019,WC2R 1LA,Strand,"
Film4 Summer Screen at Somerset House ",2019
248,"9th, 10th and 11th August 2019",E1W 2SF,50 Porters Walk,"
London Craft Beer Festival ",2019
249,Saturday 10th August 2019,E3 3DU,Three Mill Lane,"
Art's House: A Lovely London Festival ",2019
250,14th to 18th Aug 2019,KT8 9AU,"East Molesey, Surrey","
Luna Kids Cinema: Hampton Court Palace ",2019
251,Saturday 17th and Sunday 18th August 2019,E1 6QL,91 Brick Lane,"
London Dessert Festival ",2019
252,Saturday 17th August 2019,EN4 0PS,Cockfosters Road,"
Elrow Town ",2019
253,20th August to 14th September 2019,WC2H 0DA,Charing Cross Road,"
Fleabag ",2019
254,Wednesday 21st August 2019,SW7 2AP,Kensington Gore,"
Prom 45: Mississippi Goddam: A Homage to Nina Simone ",2019
255,Saturday 24th and Sunday 25th August 2019,SW4 9DE,Windmill Drive,"
South West Four ",2019
256,Saturday 24th and Sunday 25th August 2019,W11 3AG,London,"
Notting Hill Carnival ",2019
257,"24th, 25th and 26th August 2019",KT8 9AU,"East Molesey, Surrey","
Hampton Court Palace Food Festival ",2019
258,29th August to 31st December 2019,SE10 0BB,Peninsula Square,"
Mamma Mia! The Party ",2019
259,Saturday 31st August and Sunday 1st September 2019,E1 6QL,91 Brick Lane,"
London Brunch Fest ",2019
260,3rd to 11th August 2019,SE1 8XX,Belvedere Road,"
Meltdown Festival 2019 ",2019
261,1st to 30th September 2019,WC2H 7BP,London,"
Totally Thames ",2019
262,1st September 2019 to 1st September 2021,NW1 2BE,183 Euston Road,"
Wellcome Collection: What it Means to be Human ",2019
263,5th September 2019 to 19th January 2020,XX1 0LL,London,"
The Wolf of Wall Street: The Immersive Experience ",2019
264,"6th, 7th and 8th September 2019",W4 2RP,Burlington Lane,"
Pub in the Park ",2019
265,Saturday 14th September 2019,SW7 2AP,Kensington Gore,"
Last Night Of The Proms ",2019
266,Saturday 14th September 2019,W2 2UH,Rangers Lodge,"
BBC Proms in the Park ",2019
267,Saturday 14th September 2019,WC2H 7BP,London,"
The Great River Race ",2019
268,Sunday 15th September 2019,SW11 4NJ,"Albert Bridge Road, Battersea Park","
Wanderlust 108 ",2019
269,18th September 2019 to 5th January 2020,W8 6AG,224-238 Kensington High Street,"
Beazley Designs Of The Year ",2019
270,20th September to 1st December 2019,WC2R 0NH,404 Strand,"
Groan Ups ",2019
271,21st September to 3rd December 2019,W1J 0BD,Burlington House,"
Antony Gormley ",2019
272,"21st, 22nd and 23rd September 2019",SW7 2AP,Kensington Gore,"
Star Wars: The Empire Strikes Back in Concert ",2019
273,Various Venues,WC2N 5DW,London,"
Open House London ",2019
274,21st September 2019 to 8th March 2020,SW7 2RL,Cromwell Road,"
Tim Walker ",2019
275,Sunday 22nd September 2019,W4 2RP,Burlington Lane,"
Chiswick House Dog Show ",2019
276,Wednesday 25th and Thursday 26th September 2019,W1F 7TF,8 Argyll Street,"
Ant Middleton: Mind Over Muscle ",2019
277,Sunday 29th September 2019,EC2P 2EJ,Gresham Street,"
Pearly Kings and Queens Harvest Festival ",2019
278,30th Sep to 5th Oct 2019,W1F 7TF,8 Argyll Street,"
Hozier ",2019
279,01st October - 27th January 2019,WC2N 5DN,Trafalgar Square,"
Mantegna and Bellini ",2019
280,01st - 07th October 2018,E1 6QL,91 Brick Lane,"
London Cocktail Week ",2019
281,01st - 31st October 2018,WC2N 5DW,London,"
London Restaurant Festival ",2019
282,01st - 31st October 2018,SE1 7PB,"Riverside Building, County Hall, Westminster Bridge Road","
Screamfest ",2019
283,01st - 06th October 2018,W1D 3NE,21 Dean Street,"
Abandoman: Pirate Radio ",2019
284,01st - 07th October 2018,W1J 5AX,"Berkeley Square, Mayfair","
PAD London Art & Design Fair ",2019
285,01st - 07th October 2018,SE1 7PB,"Jubilee Gardens, South Bank","
London Eye Flavour Adventure: London Cocktail Week ",2019
286,02nd October - 24th February 2019,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
Hyundai Commission: Tania Bruguera ",2019
287,02nd - 05th October 2018,SW7 2AP,Kensington Gore,"
Carlos Acosta - A Celebration ",2019
288,02nd October - 31st January 2019,SE1 9PX,South Bank,"
I'm Not Running ",2019
289,02nd October - 01st December 2018,WC2H 0DA,Charing Cross Road,"
The Height of the Storm ",2019
290,03rd - 07th October 2018,NW1 4NR,Inner Circle,"
Frieze Art Fair ",2019
291,03rd October - 04th November 2018,WC2R 1LA,Strand,"
Hannah Perry: Gush ",2019
292,04th - 07th October 2018,WC1B 4DA,Bloomsbury Square,"
The Other Art Fair ",2019
293,04th - 07th October 2018,E1 6QL,91 Brick Lane,"
Moniker Art Fair ",2019
294,04th October - 03rd March 2019,NW1 2BE,183 Euston Road,"
Living with Buildings ",2019
295,04th - 07th October 2018,TW9 3AB,"Kew, Richmond","
Handmade at Kew ",2019
296,04th - 27th October 2018,XX1 0LL,London,"
The Electrograph ",2019
297,05th - 07th October 2018,E16 1XL,"One Western Gateway, Royal Victoria Dock","
The Cake and Bake Show ",2019
298,05th October - 03rd November 2018,W6 0QA,"Lyric Square, 2 King Street","
o t h e l l o m a c b e t h ",2019
299,06th October - 15th December 2018,EC2M 7EB,"11 13 & 14 South Place, Moorgate","
Bingo Academy ",2019
300,6th October 2018 to 6th May 2019,SW7 2DD,Exhibition Road,"
The Sun: Living With Our Star ",2019
301,08th October - 10th November 2018,SE1 8NB,103 The Cut,"
Wise Children ",2019
302,10th October - 29th December 2018,SE1 2SG,3 Potters Fields Park,"
A Very Very Very Dark Matter ",2019
303,10th - 21st October 2018,SE1 8XT,"Belvedere Road, South Bank","
BFI London Film Festival ",2019
304,10th October - 27th January 2019,EC2Y 8DS,Silk Street,"
Modern Couples: Art, Intimacy And The Avant-Garde ",2019
305,11th October - 27th January 2019,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
Anni Albers ",2019
306,12th - 13th October 2018,TW9 3AB,"Kew, Richmond","
Temperate Tipples ",2019
307,14th October 2018,W2 2UH,Rangers Lodge,"
Royal Parks Half Marathon ",2019
308,15th - 21st October 2018,N1C 4AA,"West Handyside Canopy, One Wharf Road","
Chocolate Week ",2019
309,16th October - 03rd November 2018,E9 6JQ,2 & 4 Homerton High Street,"
Tea Break Theatre: Frankenstein ",2019
310,17th October 2018,SW9 9SL,211 Stockwell Road,"
Jorja Smith ",2019
311,17th - 21st October 2018,WC1N 1NX,Bloomsbury,"
Bloomsbury Festival ",2019
312,18th - 21st October 2018,SW11 4NJ,Battersea Park,"
Affordable Art Fair Battersea ",2019
313,18th - 28th October 2018,SE1 8XX,Belvedere Road,"
London Literature Festival ",2019
314,18th October - 24th November 2018,NW3 3EU,Eton Avenue,"
I and You: Hampstead Theatre ",2019
315,18th October - 27th January 2019,WC2H 0HE,St Martin's Place,"
Taylor Wessing Photographic Portrait Prize 2018 ",2019
316,19th - 20th October 2018,SW7 2AP,Kensington Gore,"
Guys and Dolls ",2019
317,20th - 21st October 2018,SW6 1UD,47 Lillie Road,"
RumFest ",2019
318,21st October 2018,SE1 1TL,Southwark Street,"
Borough Market Apple Day ",2019
319,22nd - 23rd October 2018,SW1X 9DQ,5 Sloane Terrace,"
At Last: The Etta James Story ",2019
320,23rd October 2018,SE10 0BB,Peninsula Square,"
U2: ePERIENCE & iNNOCENCE Tour ",2019
321,24th October - 24th February 2019,SW1P 4RG,Millbank,"
Burne-Jones ",2019
322,24th October 2018,N22 7AY,"Alexandra Palace Way, Wood Green","
Bloc Party ",2019
323,25th - 28th October 2018,SE10 0BB,Peninsula Square,"
BluesFest ",2019
324,25th - 28th October 2018,SW11 4NJ,Battersea Park,"
The Ski & Snowboard Show London ",2019
325,25th October - 06th January 2019,SW7 5BD,Cromwell Road,"
Natural History Museum Ice Rink ",2019
326,25th October - 08th December 2018,SW1Y 4DN,6 Panton Street,"
Pinter at The Pinter: Landscape / A Kind Of Alaska / Monologue ",2019
327,25th October - 03rd March 2019,WC2R 1LA,Strand,"
Good Grief, Charlie Brown! ",2019
328,26th October - 22nd December 2018,NW6 7JR,269 Kilburn High Road,"
White Teeth ",2019
329,27th October - 02nd February 2019,WC2H 0HH,2 Charing Cross Road,"
Don Quixote ",2019
330,27th October 2018,WC2N 5DS,Central London,"
Africa on the Square ",2019
331,28th October 2018,WC2N 5DS,Central London,"
Diwali Festival ",2019
332,29th October 2018,W1F 7TF,8 Argyll Street,"
Joanna Lumley: It's All About Me ",2019
